Unit,Price           (1 - 500),Tab,Country,Is Command,Is Prototype,Amphibious,Speed              (23 km - 1100km),Autonomy          (60 km+),Strength         (2 - 300),Optics Ground         (40 - 220),Optics Air         (10 - 900),Optics Anti-Radar         (300 - 500),Stealth                           (0.7 - 3),Size Modifier                  (-0.2 - 0.1),Front Armor       (0 - 23),Side Armor      (0 - 12),Rear Armor       (0 - 6),Top Armor      (0 - 4),Weapon1 Type,Weapon1 HE                  (0 - 30),Weapon1 AP               (0 - 200),Weapon1 Fire Starting Probability                  (0 - 100%),Weapon1 Ammo,Weapon1 Aim Time,Weapon1 Time Between Shots,Weapon1 Shots Per Salvo,Weapon1 Reload Time,Weapon1 Dmg Radius,Weapon1 Surpress Radius,Weapon1 Accuracy,Weapon1 Accuracy While Moving,Weapon1 Range Ground,Weapon1 Range Ground Minimum,Weapon1 Range Helicopters,Weapon1 Range Helicopters Minimum,Weapon1 Range Planes,Weapon1 Range Planes Minimum,Weapon1 Range Ships,Weapon1 Range Ships Minimum,Weapon1 Supply Cost Per Salvo,Weapon2 Type,Weapon2 HE,Weapon2 AP,Weapon2 Fire Starting Probability                  (0 - 100%),Weapon2 Ammo,Weapon2 Aim Time,Weapon2 Time Between Shots,Weapon2 Shots Per Salvo,Weapon2 Reload Time,Weapon2 Damage Radius,Weapon2 Surpress Radius,Weapon2 Accuracy,Weapon2 Accuracy While Moving,Weapon2 Range Ground,Weapon2 Range Ground Minimum,Weapon2 Range Helicopters,Weapon2 Range Helicopters Minimum,Weapon2 Range Planes,Weapon2 Range Planes Minimum,Weapon2 Range Ships,Weapon2 Range Ships Minimum,Weapon2 Supply Cost Per Salvo,Weapon3 Type,Weapon3 HE,Weapon3 AP,Weapon3 Fire Starting Probability                  (0 - 100%),Weapon3 Ammo,Weapon3 Aim Time,Weapon3 Time Between Shots,Weapon3 Shots Per Salvo,Weapon3 Reload Time,Weapon3 Damage Radius,Weapon3 Surpress Radius,Weapon3 Accuracy,Weapon3 Accuracy While Moving,Weapon3 Range Ground,Weapon3 Range Ground Minimum,Weapon3 Range Helicopters,Weapon3 Range Helicopters Minimum,Weapon3 Range Planes,Weapon3 Range Planes Minimum,Weapon3 Range Ships,Weapon3 Range Ships Minimum,Weapon3 Supply Cost Per Salvo,Year,Decks
STORMINGENIOR,10,INF,Norway,FALSE,FALSE,FALSE,30 km/h,,5,80,40,,2,-0.15,2,2,2,2,Battle Rifle,1,,,400,1 s,4 s,4,8 s,2 m,7 m,40%,10%,595 m,2 m,595 m,,,,595 m,2 m,4,LAW,2,18,,10,,1 s,1,4 s,2 m,147 m,70%,,700 m,,,,,,700 m,,20,,,,,,,,,,,,,,,,,,,,,,,1975,Mechanized|Motorized|Marine|Airborne|Armored|Support
STORMPIONJÄRER,15,INF,Sweden,FALSE,FALSE,FALSE,30 km/h,,10,80,40,,2,-0.15,2,2,2,2,SMG,1,,,800,1 s,2 s,4,4 s,2 m,7 m,20%,20%,455 m,2 m,455 m,,,,455 m,2 m,4,Flamethrower,0.75,,100%,80,2 s,1 s,8,2 s,18 m,175 m,30%,,350 m,,,,,,350 m,,100,,,,,,,,,,,,,,,,,,,,,,,1980,Mechanized|Motorized|Marine|Airborne|Armored|Support
PLRK STRELA-2,5,INF,Czechoslavakia,FALSE,FALSE,FALSE,23 km/h,,2,80,80,,2.5,-0.15,2,2,2,2,Assault Rifles,1,,,160,1 s,3 s,4,6 s,2 m,7 m,30%,15%,525 m,2 m,525 m,,,,525 m,2 m,4,SAM,3,,,6,1 s,6 s,1,6 s,74 m,147 m,30%,,,,2100 m,,1680 m,,,,32,,,,,,,,,,,,,,,,,,,,,,,1975,Mechanized|Motorized|Marine|Airborne|Armored|Support
STRELA-2,5,INF,South Africa,FALSE,FALSE,FALSE,23 km/h,,2,80,80,,2.5,-0.15,2,2,2,2,Assault Rifles,1,,,160,1 s,3 s,4,6 s,2 m,7 m,30%,15%,525 m,2 m,525 m,,,,525 m,2 m,4,SAM,3,,,6,1 s,6 s,1,6 s,74 m,147 m,30%,,,,2100 m,,1680 m,,,,32,,,,,,,,,,,,,,,,,,,,,,,1980,Motorized|Marine|Airborne|Armored|Support
STRELA-3,10,INF,South Africa,FALSE,FALSE,FALSE,23 km/h,,2,80,80,,2.5,-0.15,2,2,2,2,Assault Rifles,1,,,160,1 s,3 s,4,6 s,2 m,7 m,30%,15%,525 m,2 m,525 m,,,,525 m,2 m,4,SAM,3,,,6,1 s,6 s,1,6 s,74 m,147 m,40%,,,,2275 m,,1820 m,,,,35,,,,,,,,,,,,,,,,,,,,,,,1985,Motorized|Marine|Airborne|Armored|Support
STRF 9040,25,VHC,Sweden,FALSE,FALSE,FALSE,65 km/h,480 km,10,80,20,,1,,5,3,2,2,Autocannon,1,4,,360,1 s,1 s,2,2 s,11 m,35 m,60%,35%,1925 m,,,,,,1925 m,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988,Mechanized|Armored
STRV 103B,55,TNK,Sweden,FALSE,FALSE,TRUE,50 km/h,400 km,10,60,20,,1,-0.05,12,4,2,2,Main Gun,3,12,,25,1 s,4 s,25,4 s,2 m,184 m,45%,,2100 m,,,,,,2100 m,,500,MMG,0.5,,,9000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,,,,,,,,,,,,,,,,,,,,,,,1971,Mechanized|Motorized|Armored
STRV 103C,80,TNK,Sweden,FALSE,FALSE,TRUE,50 km/h,560 km,10,60,20,,1,-0.05,13,5,3,2,Main Gun,3,16,,25,1 s,4 s,25,4 s,2 m,184 m,60%,,2275 m,,,,,,2275 m,,500,MMG,0.5,,,9000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,,,,,,,,,,,,,,,,,,,,,,,1986,Mechanized|Motorized|Armored
STRIPBV 3021,130,LOG,Sweden,TRUE,FALSE,TRUE,65 km/h,300 km,10,80,40,,1,,4,2,1,1,Autocannon,1,2,,510,1 s,1 s,2,1 s,5 m,18 m,15%,5%,1575 m,,,,,,1575 m,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968,Mechanized|Armored|Support
STRIPBV 90,130,LOG,Sweden,TRUE,FALSE,FALSE,65 km/h,480 km,10,80,40,,1,,5,3,2,2,LMG,0.5,,,9000,2 s,1 s,10,5 s,2 m,35 m,20%,5%,875 m,88 m,595 m,,,,875 m,88 m,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,Mechanized|Armored|Support
STROP 1,30,SUP,Czechoslavakia,FALSE,FALSE,TRUE,60 km/h,200 km,10,60,250,,1,,2,2,1,1,Twin Autocannon,1,,,900,1 s,1 s,11,5 s,8 m,51 m,25%,,1050 m,,2625 m,,1750 m,,1050 m,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984,Mechanized|Motorized|Armored|Support
STROP 2,60,SUP,Czechoslavakia,FALSE,FALSE,FALSE,100 km/h,700 km,10,60,250,,1,0.05,2,2,1,1,Autocannon,1,,,1300,1 s,0 s,22,5 s,8 m,51 m,35%,,1050 m,,2800 m,,1750 m,,1050 m,,260,SAM,4,,,4,1 s,2 s,2,10 s,98 m,196 m,55%,55%,,,2450 m,,1960 m,,,,100,,,,,,,,,,,,,,,,,,,,,,,1989,Motorized|Support
STRV 103D,90,TNK,Sweden,FALSE,FALSE,FALSE,50 km/h,560 km,10,80,20,,1,-0.05,15,6,3,2,Main Gun,3,17,,25,1 s,4 s,25,4 s,2 m,184 m,65%,,2275 m,,,,,,2275 m,,500,LMG,0.5,,,9000,2 s,1 s,10,5 s,2 m,35 m,20%,5%,875 m,88 m,595 m,,,,875 m,88 m,10,,,,,,,,,,,,,,,,,,,,,,,1992,Mechanized|Motorized|Armored
STRV 105,55,TNK,Sweden,FALSE,FALSE,FALSE,60 km/h,630 km,10,80,20,,1,0.05,10,6,3,2,Main Gun,3,16,,42,1 s,1 s,1,8 s,2 m,184 m,70%,40%,2275 m,,,,,,2275 m,,20,LMG,0.5,,,1000,2 s,1 s,10,5 s,2 m,35 m,20%,5%,875 m,88 m,595 m,,,,875 m,88 m,10,,,,,,,,,,,,,,,,,,,,,,,1990,Mechanized|Armored|Support
STRV 121,155,TNK,Sweden,FALSE,FALSE,FALSE,70 km/h,550 km,10,80,20,,1,0.05,19,9,4,3,Main Gun,3,23,,29,1 s,1 s,1,7 s,2 m,210 m,65%,60%,2275 m,,,,,,2275 m,,25,LMG,0.5,,,2600,2 s,1 s,10,5 s,2 m,35 m,20%,5%,875 m,88 m,595 m,,,,875 m,88 m,10,,,,,,,,,,,,,,,,,,,,,,,1994,Armored
PPZR STRZAŁA-2,5,INF,Poland,FALSE,FALSE,FALSE,23 km/h,,2,80,80,,2.5,-0.15,2,2,2,2,Assault Rifles,1,,,160,1 s,3 s,4,6 s,2 m,7 m,30%,15%,525 m,2 m,525 m,,,,525 m,2 m,4,SAM,3,,,6,1 s,6 s,1,6 s,74 m,147 m,30%,,,,2100 m,,1680 m,,,,32,,,,,,,,,,,,,,,,,,,,,,,1975,Mechanized|Motorized|Marine|Airborne|Armored|Support
PIECHOTA ZMECH.,10,INF,Poland,FALSE,FALSE,FALSE,30 km/h,,10,80,40,,2,-0.15,2,2,2,2,Assault Rifles,1,,,800,1 s,3 s,4,6 s,2 m,7 m,30%,15%,525 m,2 m,525 m,,,,525 m,2 m,4,LAW,1,14,,6,,1 s,1,6 s,2 m,145 m,40%,,700 m,,,,,,700 m,,20,LMG,0.5,,,1000,2 s,1 s,10,5 s,2 m,35 m,20%,,875 m,88 m,595 m,,,,875 m,88 m,10,1975,Mechanized|Motorized|Armored|Support
STURMI,10,VHC,Finland,FALSE,FALSE,FALSE,40 km/h,200 km,10,60,40,,1,-0.05,3,2,1,1,Main Gun,2,6,,50,1 s,1 s,1,8 s,2 m,131 m,40%,,1750 m,,,,,,1750 m,,5,MMG,0.5,,,1000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,,,,,,,,,,,,,,,,,,,,,,,1944,Mechanized|Motorized|Armored|Support
DECKUNGSGRUPPE,10,INF,West Germany,FALSE,FALSE,FALSE,30 km/h,,5,80,40,,2,-0.15,2,2,2,2,SMG,1,,,400,1 s,2 s,4,4 s,2 m,7 m,20%,20%,455 m,2 m,455 m,,,,455 m,2 m,4,LAW,2,18,,10,,1 s,1,4 s,2 m,147 m,70%,,700 m,,,,,,700 m,,20,,,,,,,,,,,,,,,,,,,,,,,1979,Mechanized|Motorized|Marine|Airborne|Armored|Support
STRV 102,30,TNK,Sweden,FALSE,FALSE,FALSE,35 km/h,450 km,10,60,20,,1,0.05,9,5,2,2,Main Gun,3,10,,42,1 s,1 s,1,8 s,2 m,184 m,45%,15%,1925 m,,,,,,1925 m,,20,MMG,0.5,,,1000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,,,,,,,,,,,,,,,,,,,,,,,1966,Mechanized|Armored|Support
STRV 102R,35,TNK,Sweden,FALSE,FALSE,FALSE,35 km/h,600 km,10,60,20,,1,0.05,9,5,2,2,Main Gun,3,11,,42,1 s,1 s,1,8 s,2 m,184 m,60%,20%,1925 m,,,,,,1925 m,,20,MMG,0.5,,,1000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,,,,,,,,,,,,,,,,,,,,,,,1983,Mechanized|Armored|Support
STRV 104,45,TNK,Sweden,FALSE,FALSE,FALSE,50 km/h,630 km,10,60,20,,1,0.05,10,6,3,2,Main Gun,3,13,,42,1 s,1 s,1,8 s,2 m,184 m,60%,25%,2100 m,,,,,,2100 m,,20,MMG,0.5,,,1000,1 s,1 s,10,2 s,2 m,7 m,20%,10%,875 m,,525 m,,,,875 m,,20,,,,,,,,,,,,,,,,,,,,,,,1985,Mechanized|Armored|Support
Su-100,15,VHC,North Korea,FALSE,FALSE,FALSE,50 km/h,320 km,10,40,40,,1,,4,2,2,1,Main Gun,3,11,,29,1 s,1 s,1,8 s,2 m,175 m,30%,,1925 m,,,,,,1925 m,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968,Mechanized|Motorized|Armored|Support
Su-76M,10,VHC,North Korea,FALSE,FALSE,FALSE,45 km/h,250 km,10,80,40,,1,-0.05,2,1,1,4,Main Gun,2,7,,60,1 s,1 s,1,4 s,2 m,133 m,20%,,1575 m,,,,,,1575 m,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,Mechanized|Motorized|Armored|Support
T-34B,15,TNK,Yugoslavia,FALSE,FALSE,FALSE,50 km/h,400 km,10,40,20,,1,0.05,3,2,1,1,Main Gun,3,10,,38,1 s,1 s,1,10 s,2 m,149 m,40%,,1750 m,,,,,,1750 m,,15,MMG,0.75,,,300,1 s,1 s,10,2 s,4 m,11 m,15%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1977,Mechanized|Motorized|Armored|Support
KPz T-34/85M,15,TNK,East Germany,FALSE,FALSE,FALSE,50 km/h,400 km,10,40,20,,1,0.05,3,2,1,1,Main Gun,3,10,,38,1 s,1 s,1,10 s,2 m,149 m,40%,,1750 m,,,,,,1750 m,,15,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1969,Mechanized|Motorized|Armored|Support
T-34/85M1,15,TNK,Poland,FALSE,FALSE,FALSE,50 km/h,400 km,10,40,20,,1,0.05,3,2,1,1,Main Gun,3,10,,38,1 s,1 s,1,10 s,2 m,149 m,40%,,1750 m,,,,,,1750 m,,15,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1969,Mechanized|Motorized|Armored|Support
T-55,25,REC,Poland,FALSE,FALSE,FALSE,50 km/h,500 km,10,120,40,,1.5,,7,3,2,1,Main Gun,3,11,,32,1 s,1 s,1,8 s,2 m,175 m,30%,10%,1925 m,,,,,,1925 m,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,Mechanized|Motorized|Marine|Armored|Support
T-55A,25,TNK,Soviet Union,FALSE,FALSE,FALSE,50 km/h,600 km,10,40,20,,1,,7,3,2,1,Main Gun,3,11,,32,1 s,1 s,1,8 s,2 m,175 m,40%,15%,1925 m,,,,,,1925 m,,20,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1970,Mechanized|Motorized|Marine|Armored
T-55AH IGMAN,55,TNK,Yugoslavia,FALSE,FALSE,FALSE,60 km/h,700 km,10,80,20,,1,,11,7,3,2,Main Gun,3,15,,32,1 s,1 s,1,8 s,2 m,175 m,60%,30%,2275 m,,,,,,2275 m,,20,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1995,Mechanized|Motorized|Armored
T-55AI IGMAN,40,TNK,Yugoslavia,FALSE,FALSE,FALSE,60 km/h,700 km,10,60,20,,1,,7,3,2,1,Main Gun,3,13,,32,1 s,1 s,1,8 s,2 m,175 m,60%,30%,2275 m,,,,,,2275 m,,20,ATGM,1,17,,4,2 s,1 s,2,10 s,4 m,280 m,40%,,2450 m,175 m,,,,,2450 m,175 m,159,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,1981,Mechanized|Motorized|Armored
T-55AK,120,LOG,Yugoslavia,TRUE,FALSE,FALSE,50 km/h,600 km,10,80,40,,1,,7,3,2,1,Main Gun,3,11,,32,1 s,1 s,1,8 s,2 m,175 m,40%,15%,1925 m,,,,,,1925 m,,20,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1973,Mechanized|Marine|Armored|Support
T-55AM,35,TNK,Soviet Union,FALSE,FALSE,FALSE,50 km/h,600 km,10,60,20,,1,,9,4,2,2,Main Gun,3,13,,31,1 s,1 s,1,8 s,2 m,175 m,50%,15%,2100 m,,,,,,2100 m,,20,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1981,Mechanized|Motorized|Marine|Armored
T-55AM1B,35,TNK,Czechoslavakia,FALSE,FALSE,FALSE,50 km/h,600 km,10,60,20,,1,,9,4,2,2,Main Gun,3,13,,31,1 s,1 s,1,8 s,2 m,175 m,50%,15%,2100 m,,,,,,2100 m,,20,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1982,Mechanized|Motorized|Armored
T-55AM2,50,TNK,Soviet Union,FALSE,FALSE,FALSE,50 km/h,600 km,10,60,20,,1,,10,5,2,2,Main Gun,3,15,,27,1 s,1 s,1,8 s,2 m,175 m,50%,15%,2100 m,,,,,,2100 m,,20,ATGM,1,17,,4,2 s,1 s,1,8 s,4 m,280 m,40%,,2625 m,175 m,,,,,2625 m,175 m,85,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,1983,Mechanized|Motorized|Marine|Armored
T-55AM2B,50,TNK,Czechoslavakia,FALSE,FALSE,FALSE,50 km/h,600 km,10,60,20,,1,,10,5,2,2,Main Gun,3,15,,27,1 s,1 s,1,8 s,2 m,175 m,50%,15%,2100 m,,,,,,2100 m,,20,ATGM,1,17,,4,2 s,1 s,1,8 s,4 m,280 m,40%,,2625 m,175 m,,,,,2625 m,175 m,85,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,1989,Mechanized|Motorized|Armored
T-55AM2 DYNA-1,65,TNK,Czechoslavakia,FALSE,FALSE,FALSE,50 km/h,600 km,10,60,20,,1,,13,6,3,3,Main Gun,3,15,,27,1 s,1 s,1,8 s,2 m,175 m,50%,15%,2100 m,,,,,,2100 m,,20,ATGM,1,21,,4,2 s,1 s,1,6 s,4 m,280 m,50%,,2800 m,175 m,,,,,2800 m,175 m,140,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,1993,Mechanized|Motorized|Armored
T-55AM2 MERIDA,45,TNK,Poland,FALSE,FALSE,FALSE,50 km/h,600 km,10,60,20,,1,,10,4,2,2,Main Gun,3,15,,31,1 s,1 s,1,8 s,2 m,175 m,60%,15%,2275 m,,,,,,2275 m,,20,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1985,Mechanized|Motorized|Armored
T-55AMV,55,TNK,Soviet Union,FALSE,FALSE,FALSE,60 km/h,600 km,10,80,20,,1,,11,6,3,3,Main Gun,3,15,,27,1 s,1 s,1,8 s,2 m,175 m,50%,15%,2100 m,,,,,,2100 m,,20,ATGM,1,17,,4,2 s,1 s,1,8 s,4 m,280 m,40%,,2625 m,175 m,,,,,2625 m,175 m,85,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,1985,Mechanized|Motorized|Marine|Armored
T-55AM MERIDA,35,TNK,Poland,FALSE,FALSE,FALSE,50 km/h,600 km,10,60,20,,1,,9,4,2,2,Main Gun,3,13,,31,1 s,1 s,1,8 s,2 m,175 m,55%,15%,2100 m,,,,,,2100 m,,20,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1982,Mechanized|Motorized|Armored
T-55A IZVIDJAČ,30,REC,Yugoslavia,FALSE,FALSE,FALSE,50 km/h,600 km,10,120,40,,1.5,,7,3,2,1,Main Gun,3,11,,32,1 s,1 s,1,8 s,2 m,175 m,40%,15%,1925 m,,,,,,1925 m,,20,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1966,Mechanized|Motorized|Marine|Armored
T-55,25,REC,North Korea,FALSE,FALSE,FALSE,50 km/h,500 km,10,120,40,,1.5,,7,3,2,1,Main Gun,3,11,,32,1 s,1 s,1,8 s,2 m,175 m,30%,10%,1925 m,,,,,,1925 m,,20,MMG,0.75,,,300,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1980,Mechanized|Motorized|Marine|Armored|Support
T-55A TLD,30,TNK,Yugoslavia,FALSE,FALSE,FALSE,50 km/h,600 km,10,60,20,,1,,7,3,2,1,Main Gun,3,12,,32,1 s,1 s,1,8 s,2 m,175 m,40%,15%,2100 m,,,,,,2100 m,,20,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1980,Mechanized|Motorized|Marine|Armored
T-55L,25,TNK,Poland,FALSE,FALSE,FALSE,50 km/h,600 km,10,40,20,,1,,7,3,2,1,Main Gun,3,11,,32,1 s,1 s,1,8 s,2 m,175 m,40%,15%,1925 m,,,,,,1925 m,,20,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1970,Mechanized|Motorized|Marine|Armored
T-55M MATTI,50,TNK,Finland,FALSE,FALSE,FALSE,50 km/h,600 km,10,60,20,,1,,7,3,2,1,Main Gun,3,17,,32,1 s,1 s,1,8 s,2 m,175 m,60%,15%,2275 m,,,,,,2275 m,,20,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,15%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1989,Mechanized|Motorized|Armored|Support
T-55A,25,TNK,Finland,FALSE,FALSE,FALSE,50 km/h,600 km,10,40,20,,1,,7,3,2,1,Main Gun,3,11,,32,1 s,1 s,1,8 s,2 m,175 m,40%,15%,1925 m,,,,,,1925 m,,20,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,15%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1965,Mechanized|Motorized|Marine|Armored|Support
T-55A KOPA,120,LOG,Finland,TRUE,FALSE,FALSE,50 km/h,600 km,10,80,40,,1,,7,3,2,1,Main Gun,3,11,,32,1 s,1 s,1,8 s,2 m,175 m,40%,15%,1925 m,,,,,,1925 m,,20,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1965,Mechanized|Marine|Armored|Support
T-55M Pionpsv,75,REC,Finland,FALSE,FALSE,FALSE,50 km/h,600 km,10,170,40,,1.5,,10,4,2,2,Main Gun,3,17,,32,1 s,1 s,1,8 s,2 m,175 m,60%,15%,2275 m,,,,,,2275 m,,20,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,15%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1989,Mechanized|Motorized|Marine|Armored
T-62,20,TNK,Soviet Union,FALSE,FALSE,FALSE,50 km/h,550 km,10,60,20,,1,,8,3,2,2,Main Gun,3,11,,34,1 s,1 s,1,10 s,2 m,201 m,40%,10%,1925 m,,,,,,1925 m,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,Mechanized|Armored|Support
T-62 obr 1975,35,TNK,Soviet Union,FALSE,FALSE,FALSE,50 km/h,550 km,10,60,20,,1,,10,3,2,2,Main Gun,3,13,,34,1 s,1 s,1,10 s,2 m,201 m,45%,15%,2100 m,,,,,,2100 m,,25,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1975,Mechanized|Armored|Support
T-62cz,35,TNK,Czechoslavakia,FALSE,FALSE,FALSE,50 km/h,550 km,10,60,20,,1,,10,3,2,2,Main Gun,3,13,,34,1 s,1 s,1,10 s,2 m,201 m,45%,15%,2100 m,,,,,,2100 m,,25,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1975,Mechanized|Armored|Support
T-62M,55,TNK,Soviet Union,FALSE,FALSE,FALSE,50 km/h,500 km,10,80,20,,1,,10,3,2,2,Main Gun,3,15,,30,1 s,1 s,1,10 s,2 m,201 m,45%,15%,2275 m,,,,,,2275 m,,25,ATGM,1,20,,4,2 s,1 s,1,10 s,4 m,280 m,40%,,2800 m,175 m,,,,,2800 m,175 m,107,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,1984,Mechanized|Armored|Support
T-62MV-1,60,TNK,Soviet Union,FALSE,FALSE,FALSE,50 km/h,650 km,10,80,20,,1,,12,6,3,3,Main Gun,3,17,,30,1 s,1 s,1,10 s,2 m,201 m,45%,15%,2275 m,,,,,,2275 m,,25,ATGM,1,21,,4,2 s,1 s,1,6 s,4 m,280 m,50%,,2800 m,175 m,,,,,2800 m,175 m,140,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,1989,Mechanized|Armored|Support
T-62D,25,TNK,North Korea,FALSE,FALSE,FALSE,50 km/h,550 km,10,60,20,,1,,10,3,2,2,Main Gun,3,11,,34,1 s,1 s,1,10 s,2 m,201 m,40%,10%,1925 m,,,,,,1925 m,,25,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1979,Mechanized|Armored|Support
T-62M1,45,TNK,Soviet Union,FALSE,FALSE,FALSE,50 km/h,500 km,10,80,20,,1,,10,3,2,2,Main Gun,3,15,,34,1 s,1 s,1,10 s,2 m,201 m,45%,15%,2275 m,,,,,,2275 m,,25,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,10%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1984,Mechanized|Armored|Support
T-64A,50,TNK,Soviet Union,FALSE,FALSE,FALSE,65 km/h,700 km,10,60,20,,1,,11,6,3,2,Main Gun,4,13,,28,1 s,7 s,28,7 s,2 m,219 m,40%,25%,2100 m,,,,,,2100 m,,700,MMG,0.75,,,1000,1 s,1 s,10,2 s,4 m,11 m,15%,5%,1050 m,,875 m,,,,1050 m,,20,,,,,,,,,,,,,,,,,,,,,,,1963,Armored
